quarter,jv_to_ue
1998-Q1,1.32
1998-Q2,0.87
1998-Q3,0.37
1998-Q4,0.35
1999-Q1,0.47
1999-Q2,0.57
1999-Q3,0.68
1999-Q4,0.89
2000-Q1,0.83
2000-Q2,0.72
2000-Q3,1.3
2000-Q4,0.92
2001-Q1,0.87
2001-Q2,0.64
2001-Q3,0.36
2001-Q4,0.32
2002-Q1,0.35
2002-Q2,0.4
2002-Q3,0.37
2002-Q4,0.31
2003-Q1,0.29
2003-Q2,0.27
2003-Q3,0.21
2003-Q4,0.3
2004-Q1,0.35
2004-Q2,0.34
2004-Q3,0.47
2004-Q4,0.42
2005-Q1,0.44
2005-Q2,0.45
2005-Q3,0.43
2005-Q4,0.56
2006-Q1,0.58
2006-Q2,0.65
2006-Q3,0.67
2006-Q4,0.75
2007-Q1,0.8
2007-Q2,0.96
2007-Q3,1.29
2007-Q4,1.42
2008-Q1,1.29
2008-Q2,0.99
2008-Q3,0.87
2008-Q4,0.53
2009-Q1,0.36
2009-Q2,0.4
2009-Q3,0.56
2009-Q4,0.79
2010-Q1,0.85
2010-Q2,0.97
2010-Q3,1.1
2010-Q4,1.03
2011-Q1,1.3
2011-Q2,1.23
2011-Q3,1.18
2011-Q4,1.16
2012-Q1,1.03
2012-Q2,0.98
2012-Q3,1.24
2012-Q4,1.03
2013-Q1,1.15
2013-Q2,1.19
2013-Q3,1.41
2013-Q4,1.41
2014-Q1,1.32
2014-Q2,1.41
2014-Q3,1.41
2014-Q4,1.39
2015-Q1,1.41
2015-Q2,1.24
2015-Q3,1.18
2015-Q4,1.12
2016-Q1,1.04
2016-Q2,0.9
2016-Q3,0.93
2016-Q4,0.78
2017-Q1,0.79
2017-Q2,0.84
2017-Q3,0.92
2017-Q4,0.95
2018-Q1,1.02
2018-Q2,1.08
2018-Q3,1.1
2018-Q4,1.11
2019-Q1,1.01
2019-Q2,0.89
2019-Q3,0.9
2019-Q4,0.85
2020-Q1,0.66
2020-Q2,0.52
2020-Q3,0.67
2020-Q4,0.78
2021-Q1,0.96
2021-Q2,1.57
2021-Q3,2.1
2021-Q4,2.14
2022-Q1,2.3
2022-Q2,2.54
2022-Q3,2.13
2022-Q4,2.3
2023-Q1,2.25
2023-Q2,1.86
2023-Q3,1.64
2023-Q4,1.74
2024-Q1,1.56
2024-Q2,1.67
